Motion Name,Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
Spin,2025-01-29T09:00:02.136Z,0.0100,-0.0600,9.8500,0.0000,0.0000,0.0000,30.53
Spin,2025-01-29T09:00:02.136Z,0.0100,-0.0500,9.8500,0.0000,0.0000,0.0000,30.51
Spin,2025-01-29T09:00:02.136Z,0.0000,-0.0500,9.8000,0.0000,0.0000,0.0000,30.50
Spin,2025-01-29T09:00:02.136Z,-0.0100,-0.0400,9.8500,0.0000,0.0000,0.0000,30.51
Spin,2025-01-29T09:00:02.136Z,0.0200,-0.0500,9.8300,0.0000,0.0000,0.0000,30.51
Spin,2025-01-29T09:00:02.136Z,0.0300,-0.0700,9.8500,0.0000,0.0000,0.0000,30.52
Spin,2025-01-29T09:00:02.136Z,0.0000,-0.0500,9.8400,0.0000,0.0000,0.0000,30.50
Spin,2025-01-29T09:00:02.136Z,-0.0100,-0.0600,9.8500,0.0000,0.0000,0.0000,30.53
Spin,2025-01-29T09:00:02.136Z,0.0000,-0.0700,9.8600,0.0000,0.0000,0.0000,30.53
Spin,2025-01-29T09:00:02.136Z,-0.0100,-0.0600,9.8500,0.0000,0.0000,0.0000,30.52
Spin,2025-01-29T09:00:02.136Z,-3.0800,-0.8400,9.4400,0.5100,-2.4100,-0.4800,30.52
Spin,2025-01-29T09:00:02.136Z,0.0700,0.7800,7.6400,-0.0300,-0.5800,-0.8000,30.53
Spin,2025-01-29T09:00:02.136Z,1.6200,1.2900,6.6300,-0.4500,-0.3900,-1.6600,30.54
Spin,2025-01-29T09:00:02.136Z,-0.2200,1.2900,9.2800,0.0000,0.5100,-1.0200,30.55
Spin,2025-01-29T09:00:02.136Z,-1.3800,1.7000,10.0600,-0.4900,1.9900,-0.5900,30.54
Spin,2025-01-29T09:00:02.136Z,-1.6500,0.3200,11.9700,-0.3800,-0.1000,0.2500,30.54
Spin,2025-01-29T09:00:02.136Z,-0.4200,-1.0700,12.6100,0.5900,0.3600,2.0500,30.55
Spin,2025-01-29T09:00:02.136Z,-0.3800,-0.7200,9.7000,1.2100,-0.0600,0.2400,30.56
Spin,2025-01-29T09:00:02.136Z,-0.1400,-0.0500,8.7500,1.0400,-0.0800,-0.4200,30.56
Spin,2025-01-29T09:00:02.136Z,-0.5500,2.3600,6.6300,0.9600,0.4700,-1.1600,30.55
Spin,2025-01-29T09:00:02.136Z,-1.0500,2.7900,5.6200,0.2400,-0.5200,-1.5900,30.54
Spin,2025-01-29T09:00:02.136Z,-5.4500,6.8500,8.2500,-0.6000,-3.0100,-0.6200,30.54
Spin,2025-01-29T09:00:02.136Z,-4.5900,5.3200,11.7800,-1.6000,0.1000,1.0400,30.53
